[06/04/2020 15:15:41 - INFO - __main__ - 323] reading data/run1.B1phi1.i1.seqwish.w100.json...
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 856
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 855
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1845
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1666
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 17
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 16
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1399
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1398
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1397
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1396
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1395
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 876
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1138
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1906
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 877
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 29
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1533
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1380
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2067
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 28
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 657
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1494
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 636
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 350
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 349
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 348
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 347
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 346
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 345
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 344
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 343
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 342
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 341
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1532
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1479
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 340
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1901
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2147
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2090
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2068
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2018
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2009
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1846
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1466
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1262
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 860
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 454
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 240
